candidate_id,rank,score,reasoning
CAND_0018499,1,0.898872,Senior Machine Learning Engineer at Zomato | 7.2 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0005260,2,0.897831,"Senior NLP Engineer at Netflix | 5.2 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Chennai, Tamil Nadu."
CAND_0046525,3,0.882843,Senior Machine Learning Engineer at Genpact AI | 6.1 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
CAND_0081846,4,0.879164,"Lead AI Engineer at Razorpay | 6.7 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Jaipur, Rajasthan."
CAND_0086022,5,0.864143,"Senior Applied Scientist at Sarvam AI | 5.3 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Kolkata, West Bengal."
CAND_0039754,6,0.861555,"Senior Applied Scientist at Meta | 16.2 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Indore, Madhya Pradesh."
CAND_0077337,7,0.853334,"Staff Machine Learning Engineer at Paytm | 7.0 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Kochi, Kerala."
CAND_0094759,8,0.841253,Lead AI Engineer at Meta | 8.6 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: low recruiter response rate (11%).
CAND_0080766,9,0.841098,"Staff Machine Learning Engineer at Salesforce | 8.8 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Coimbatore, Tamil Nadu."
CAND_0007411,10,0.840903,"Senior Machine Learning Engineer at Amazon | 8.0 yrs | Strong fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: low recruiter response rate (12%); requires relocation from Kochi, Kerala."
CAND_0037980,11,0.775292,"Senior Applied Scientist at Niramai | 9.0 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: requires relocation from Kolkata, West Bengal."
CAND_0042029,12,0.770688,Senior Data Scientist at Flipkart | 6.5 yrs | Good fit — demonstrates evaluation rigour (NDCG/MRR/A-B testing); verifiable production shipping history. Concerns: no major red flags.
